No,Nama Kabupaten,Nama Atraksi,Detail,,,,
,,,Deskripsi,Lokasi,Opening Hours,Ticket Prices,Historical & Cultural Background
1,TOBA,"Paralayang Puncak Sibodiala, Balige","Spot paralayang Puncak Sibodiala, Balige dibuka tahun 2024., sekitar 15 menit dari pusat kota Balige dan harus mendaki bukit Sibodiala yang punya ketinggian 800 meter dpl untuk sampai dipuncaknya.
 Puncak Sibodiala memiliki pemandangan yang memukau mulai dari hutan pinus, deretan perbukitan, perkampungan dan perkebunan warga
 hingga pemandangan danau toba yang sangat luas.
 Selain itu tak jauh dari sana ada Batu Basiha yang menampilkan tumpukan bebatuan sisa ledakan vulkanis danau toba sekitar 74.000 tahun lalu.
 Dan dari puncak itu, kamu bisa melakukan aktivitas paralayang dengan biaya hanya Rp. 550rb (sudah termasuk asuransi kecelakaan).","Puncak Sibodiala di Balige, Kabupaten Toba",10.00 WIB - 17.00 WIB,"Pelajar Rp 50Rb
 Mahasiswa Rp 450Rb
 Umum Rp 550Rb","Di sekitar Puncak Sibodiala, masyarakat lokal masih menjaga tradisi dan kebudayaan khas Kabupaten Toba.
 Desa Silalahi Pagar Batu merupakan komunitas yang ramah dan terus berupaya mengembangkan potensi wisata alam ini agar berkelanjutan sekaligus memberdayakan ekonomi warga sekitar."
2,,Juma Bulu River Side Ajibata,"Riverside Juma Bulu memiliki keindahan alam dan udara yang sejuk dikelilingi persawahan serta menyediakan aktivitas tourism yaitu River Tubing.
 Bagi wisatawan yang ingin menginap dengan nuansa alam, River Side Juma Bulu juga menyediakan tempat camping di Desa Pardomuan Ajibata juga terdapat aktivitas Trecking ke Air Terjun Batu Papan.
 
 Sumber : https://wisata.tobakab.go.id/destinasi-wisata/",Desa Pardomuan Ajibata,,"River Tubing Rp 50Rb
 Trecking Air Terjun Batu Papan Rp 100Rb
 Camping River Side Juma Bulu Rp 200Rb","Masyarakat desa Pardomuan Ajibata dikenal dengan keramahan dan keakraban mereka.
 Desa ini sering mengadakan kegiatan gotong royong untuk memperbaiki fasilitas umum, seperti jalan desa dan irigasi.
 Selain itu, desa ini sering mengadakan acara adat dan budaya, seperti Pesta Rakyat ucapan Syukur hasil dar panen ( Pesta Gotilon), dan pentas seni.
 Secara keseluruhan, desa Pardomuan Ajibata adalah desa yang ramah dan indah, dengan masyarakat yang hidup rukun dan harmonis. Desa ini cocok untuk dijadikan destinasi wisata bagi mereka yang ingin merasakan suasana pedesaan yang damai dan menenangkan."
3,,Kano,"Permainan kano adalah aktivitas rekreasi atau olahraga air yang menggunakan perahu kecil ringan bernama kano, yang digerakkan dengan dayung.
 Olahraga air ini bisa kamu nikmati di pantai Bulbul Balige dengan maksimal dua orang.","Desa Wisata Lumban Bulbul,
 Kabupaten Toba Samosir, Sumatera Utara",,Rp 50Rb,
4,SIMALUNGUN,Bukit Indah Simarjarunjung,"Dari puncak bukit, pengunjung bisa menikmati panorama Danau Toba yang menakjubkan.
 Selain menikmati pemandangan Danau Toba yang memukau dari Bukit Indah Simarjarunjung, pengunjung bisa berfoto di berbagai spot yang sudah tersedia.
 Spot-spot foto ini antara lain rumah pohon, sepeda gantung, kursi dan meja melayang, pohon cinta sampai dengan gardu pandang.","Jl. Simarjarunjung, Butu Bayu Pane Raja, Dolok Pardamean,
 Kabupaten Simalungun, Sumatera Utara 21163",07.00 WIB - 19.00 WIB,Rp 15Rb - Rp 40Rb,
5,,Flyboard di Parapat,"Flyboard adalah wahana air terbaru yang tersedia di Danau Toba, memungkinkan pengguna untuk melayang di atas air dengan bantuan jet air bertekanan tinggi. Wahana ini merupakan atraksi yang sedang populer di kalangan wisatawan","Parapat, Kabupaten Simalungun",,,
6,,ATV di Kebun Teh Sidamanik,"Pengelola wisata Kebun Teh Sidamanik, Kecamatan Sidamanik, Kabupaten Simalungun kini menyeediakan motor ATV (All Terrain Vehicle) untuk hiburan bagi pengunjung. ATV digunakan berkeliling kebun sambil menikmati pemandangan indah teh dan hembusan udara sejuk.","Kebun Teh Sidamanik, Kabupaten Simalungun",-,Rp 50Rb/30 Menit,
7,KARO,Kuliki Paralayang di Tongging,"Kuliki Paralayang Karo, berada di desa Tongging merupakan wisata olahraga terbang bebas yang menggunakan parasut dengan memanfaatkan angin serta lepas landas dengan kaki.","Desa Wisata Tongging, Kabupaten Karo, Sumatera Utara",,Rp 900Rb,Pemanfaatan daerah dataran tinggi disertai pemandangan bukit indah yang dikelilingi Danau Toba membuat daerah ini menjadi destinasi yang menawarkan banyak sekali daya tarik pariwisata di Sumatera Utara.
8,,Canyoneering di Air Terjun Sikulikap,"Canyoneering (atau canyoning) adalah aktivitas petualangan alam yang menggabungkan beberapa teknik seperti:
 Trekking (menjelajah jalur berbatu atau terjal), Rappelling (turun tebing dengan tali), Climbing (memanjat batu atau dinding lembah), Jumping (melompat ke kolam alami dari tebing atau batu), Sliding (meluncur di aliran air), dan swimming (berenang di sungai atau kolam alami).
 Canyoneering di Air Terjun Sikulikap cocok untuk pemula-menengah; ada rappelling dan lompatan.","Penatapan Doulu, Kecamatan Berastagi, Kabupaten Karo",08.30 WIB - 16.00 WIB.,,
9,,Berkuda di Gundaling,"Berkuda di Gundaling, Berastagi adalah salah satu aktivitas wisata yang populer.
 Pengunjung dapat menikmati pemandangan alam Bukit Gundaling sambil menunggang kuda, baik sendiri maupun dengan delman.
 Rute berkuda biasanya dari atas bukit hingga ke Pasar Buah Berastagi.",,,Rp 20Rb,
