,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Nama Kabupaten,Akomodasi,,,,,,Kuliner,,,,,,,,,,,,,Transportasi,,,,,,,,,Fasilitas Umum,,,,,,,,,,,Daya Tarik Wisata,,,,,,,,,,,,,,,Typical Tourist Profiles,,,,,,,,,,,
,,Hotel,,,Homestay,,,Restoran,,,,,,Café,,,Pub & Bar,,Pusat oleh-oleh,,Kapal Ferry,Estimasi Biaya,Kapal Tradisional,Estimasi Biaya,Penerbangan (Silangit),Estimasi Biaya,Angkutan Umum,Estimasi Biaya,Rental Kendaraan,Rumah Sakit/Puskesmas,Rumah Ibadah,Bank & ATM,SPBU,Swalayan,Apotik/Toko Obat,Money Changer,Pasar Tradisional,Pelabuhan,MICE,,Objek Wisata,,Biaya Masuk Destinasi,Sightseeing,Ulasan,Biaya Masuk Destinasi,Museum,,,Cagar Budaya,Ulasan,Desa Wisata,Ulasan,"Atraksi (Paralayang, Arum Jeram dll)",,Profil Wisatawan Nusantara 2024 (Jumlah Perjalanan Wisatawan),Profil Wisatawan Internasional (Jumlah Perjalanan Wisatawan),Durasi Kunjungan,Preferensi Bahasa,Budget Harian (Rp),Musim Kunjungan,,,Demografi Usia,,,
,,Alamat,Harga,Ulasan Hotel,Alamat,Harga,Ulasan Homestay,Alamat Restoran (Halal),Harga,Ulasan Restoran (Halal),Alamat Rumah Makan (Khas Batak),Harga,Ulasan RM Khas Batak,Alamat,Harga,Ulasan Cafe,Alamat,Harga,,Ulasan,,,,,,,,,,,,,,,,,,,Gedung,Jenis Event,,Ulasan Objek Wisata,,,,,Alamat,Harga,Ulasan,,,,,Alamat,Harga,,,,,,Peak Season,Best Weather,Avoid,Age Group,Primary Activities,Secondary Activities,Spending Focus
1,Toba,"Labersa, Balige (Jl. Raya Pematang Siantar, Balige (081361610841, 08126827385)",1.140.000 - 2.349.500,"Rating 9,4/10
 
 Lumayan bersih, makanan bervariasi, lokasi oke, staff ramah, ada waterpark.
 Sejauh ini sangat memuaskan untuk liburan bersama keluarga (Source: traveloka.com)","Rose’s Homestay (Jl. Raya Meat Dusun Hisap, Meat, Kec. Tampahan, Toba, Sumatera Utara 22312)",200k-400k,"Rating 5/5
 
 Pertama kalinya ke desa meat membuat sy takjub dengan keindahannya.
 Kami menginap di Rose's Homestay dengan pemandangan tepian danau toba, udara yg sejuk, owner yg friendly.
 Homestay nya bersih, bener² bikin tenang krn memang di pedesaan tepian danau toba. Yg ga kalah menakjubkan owner dan sebagian warga masih tinggal d rmh adat batak ( msh melestarikan ) dan menenun kain khas batak.(Sc: tgoogle.com)","RM. Sinar Minang (Desa Meat Kecamatan Tampahan, Meat, Kec. Balige, Toba, Sumatera Utara 22312)",25000 - 45000,"Rating 5/5
 
 Cobain Rendang, Dendeng, sambal sama Telor Bebek Gorengnya....muantab banget. (Sc: google.com)","RM. Fly Over Laguboti (Jl. Siborong Borong - Parapat No.22, Pardomuan Nauli, Kec. Laguboti, Toba, Sumatera Utara 22381)",25000-50000,"Rating 5/5
 
 Best!!! Saya pesan naniura 1 ekor dan enaaak banget. Owner dan pegawainya juga ramah dan cekatan pelayanannya. Ada opsi duduk di gedung baru atau di tepi kolam. Kalau hari cerah, better pilih yang di tepi kolam, karena ada experience baru yg berbeda. Thank you!
 Bakalan balik lagi kalau lagi melewati Laguboti :).(Sc: google.com)","Damar Toba ~ Lakeside Eatery & Stay (Jl. Pemandian No.94, Lumban Silintong, Balige, Toba, North Sumatra 22312)",35000-150000,"Rating 5/5
 
 Kamarnya bersih & nyaman. Sewaktu check in, ada welcome drink. Staf ramah & sangat membantu. Makanannya enak. Di area restoran bisa duduk menikmati pemandangan danau. Ada area bermain untuk anak². Sunrise terlihat dari hotelsuka banget sama viewnyaa, apalagi pelayanan service nyaa sangat ramah.. untuk makanannya jugaa enak enakk.. kalo aku jujur siii resto yang paling pas untuk healingg.. suka banget sama kaliannn semua dsitu🤍. (Sc: google.com)",,,Batikta Balige,"Rating 5/5
 
 cappuccino nya enak banget! nendang sejak seruputan pertama. Ada rasa gurih dan pahit kopi yang terasa sampai di pangkal lidah. Aku coba kopi tetes juga, lumayan bisa mengganjal mata kantuk yang kurang tidur. Tempat ini keren, di belakang masih bisa menatap hamparan hijau padi yang dikotak-kotak olah pematang sawah.(Sc: google.com)","Kapal Ihan Batak
 (Jl. Bukit Barisan No.15, Kec. Balige, Toba, Sumatera Utara 22312)","15.000-50.000_untuk kendaraan roda dua
 
 170.000-1.172.000_Untuk Tarif mobil","Kapal Tradisional
 (untuk nama kapal tidak tentu)
 Balige-Onanrunggu
 Dari Balige-09.00
 Dari Onanrunggu-14.00","15.000/Orang
 15.000/ Kendaraan","Citilink
 Halim PK- Silangit DTB 
 Tiba-08.45
 Silangit DTB - Halim PK 
 Berangkat -09.25
 
 Setiap Hari",1.000.000 - 2.500.000,,,Tobaindo Travelling,Rumah Sakit HKBP Balige,"Masjid Al Hadhona Balige (Jl. Mesjid, Napitupulu Bagasan)",BRI Balige,SPBU Lumban Lobu,,,,Pasar Balerong Balige,Pelabuhan Balige,,F1 Powerboat 2023-2024,Pantai Lumban Bulbul,"Rating 4/5
 
 Lokasinya pun dilengkapi dengan fasilitas kamar mandi dan mushollah sehingga tidak mengalami kesulitan bagi umat Islam untuk melaksanakan ibadah sembahyang. Di lokasi ini juga dilengkapi sarana permainan seperti APV, banana boat dan naik perahu dengan harga yang masih ekonomis.(Sc: tripadvisor.co.id)","5,000",Bukit Singgolom,"Rating 5/5
 Lokasi keren untuk melihat sunset dan menatap keindahan danau toba dari sekitar kota balige (Sc: google.com)",Gratis,Museum Batak Center,,,,,Desa Wisata Jangga Dolok,,Sibodiala,,"751,225",379,"1,31 hari","Indonesia, Batak Toba, Inggris",WISATAWAN NUSANTARA = 500.000 - >1.000.000,"Juni-Agustus, Desember-Januari",April-September (Kering),November-Februari (Hujan lebat),18-25 tahun,"Adventure, sport","Fotografi, social media","Experience, food"
,,"Serenauli, Laguboti (Jl. Sisingamangaraja No.1, Laguboti 0812-6334-4295)",450.000 - 800.000,"Rating 9,4 /10
 
 staff hotelnya super ramah dan very helpful, recomended sekali untuk di datengin lagii (Sc: traveloka.com)","Home Stay Bagasan (Meat, Kec. Tampahan, Toba, Sumatera Utara 22312)",200k-400k,,"Warung Makan Muslim Bu Nurul (Jl. P. Siantar, Sibola Hotangsas, Kec. Balige, Toba, Sumatera Utara 22313)",15000-25000,"Rating 5/5
 
 Masakan kampung dan enak. (Sc: google.com)","Rumah Makan Panca Balige, Boima Laguboti",25000-50000,"Rating 5/5
 
 Babi Pangganganya terbaik
 Lengkap dengan sayur dan sop
 Beda dari yg lain ada nenas potong.(Sc: google.com)",Tepi Danau Bistro Balige Lumban Silintong,35000-150000,"Rating 5/5
 
 Makanannya enak..semua kerasa bumbunya
 Datang pas makan siang ,,agak ramai tp pesananny dtgny lumayan cepat..(Sc: google.com)",,,,,"Kapal Pora Pora (Jl. Justin Sirait No.32, Pardamean Ajibata, Toba, Sumatera Utara 21174)","15.000-50.000_untuk kendaraan roda dua
 
 170.000-1.172.000_Untuk Tarif mobil","Balige- Naingolan
 Balige_14.30
 Nainggolan_08.00","15.000/Orang
 15.000/ Kendaraan","AirAsia
 Silangit DTB - Jakarta CGK
 Berangkat- 10.10
 Jakarta CGK-Silangit DTB
 Tiba-09.45
  
 Setiap Hari",1.000.000 - 2.500.000,"KBT
  (Pardede Onan, Kec. Balige, Toba, Sumatera Utara)",70.000-80.000,,Rumah Sakit Porsea,"Masjid An-Nur Paritohan (Paritohan,Pintu Pohan,Pintu Pohan Meranti, Ambar Halim, Kec. Pintu Pohan Meranti)",Bank Sumut Balige,SPBU Pardede Balige,,,,Pasar Laguboti,Pelabuhan Ajibata ASDP,,Aquabike 2023,Air Terjun Situmurun,"Rating 5/5
 
 Baguuus sekali. Air terjun ini tidak tinggi dan tidak rendah juga, mungkin sekitar 50 meter dari permukaan air, tetapi karena lokasinya langsung jatuh menuju ke danau, maka buat siapa aja yang tidak bisa berenang hehehe agak riskan untuk main air karena langsung ke perairan dalam.(Sc: google.com)","5,000",Adian Nalambok,"Rating 5/5
 Rest Area Adian Nalambok merupakan Rest Area Pemandangan Indah Di Tepi Jalan Lintas Sumatera yang berada tepat view di belakang danau toba... Rest area ini baru direnovasi di tahun 2021 oleh Menteri Pariwisata Bapak Sandiaga Uno.. View yang ditawarkan direst area ini sangat cantik. Dan cocok sekali bagi yang hobby foto berfoto dan instagramable.. Very recommended place to see!! (Sc: google.com)","10,000",,,,,,Desa Wisata Meat,"Rating 5/5
 Tempat ny nyaman sekali.. Healing menangkan fikiran pas banget.. Semoga semakin sukses, semakin maju ya.. (Sc: google.com)",,,,,,,WISATAWAN MANCANEGARA = 800.000 - >1.500.000,,,,26-40 tahun,"Culture, nature","Shopping, culinary",Balanced spending
,,Purnama Balige (Jl. Pardede Pasir No.21 0812-3033-7775),350.000 - 600.000,"Rating 10/10
 
 Sangat memuaskan..Hotel dengan view Danau Toba dengan kamar yg bersih dan nyaman serta makanan yang terjamin Halal..Dan yang paling berkesan adalah layanan Speedboat gratis yang membuat liburan makin berkesan..Terima Kasih Purnama Balige Hotel.. (Sc: traveloka.com)","Vania Homestay (Desa Meat Kecamatan Tampahan, Meat, Kec. Balige, Toba, Sumatera Utara 22312)",200k-400k,"Rating 5/5
 
 Lokasi dekat dari gapura desa meat (Sc: google.com)","Warung Zamzam (Jl. Patuan Nagari No.99, Ps. Porsea, Kec. Porsea, Toba, Sumatera Utara 22384)",15000-25000,"Rating 5/5
 
 Pilihan menunya banyak, tempatnya nyaman.
 Dan cita rasanya cocok di lidah.
 Harganya juga nggak bikin kantong bolong 😀 (Sc: google.com)","Rumah Makan Khas Karo Tambar Lihe (Japan Jl. Patuan Nagari, Sangkar Nihuta, Kec. Balige, Toba, Sumatera Utara 22313)",25000-50000,"Rating 5/5
 
 Panggang B2 di kota balige.mantaps rasanya.gurih dagingnya ...pengemar masakkan B2 wajib ke sini...(Sc: google.com)","Green's Cafe Balige (Jl. Gereja No.32, Lumban Dolok Haume Bange, Kec. Balige, Toba, Sumatera Utara 22315)",25000-50000,,,,,,"Kapal Kaldera Toba (Jl. Bukit Barisan No.15, Kec. Balige, Toba, Sumatera Utara 22314)","15.000-50.000_untuk kendaraan roda dua
 
 170.000-1.172.000_Untuk Tarif mobil",,,"Super Air Jet
 Silangit DTB-Jakarta CBK 
 Berangkat-10.05 dan 13.50
 Jakarta CGK-Silangit DTB
 Tiba-09.25 
 
  Setiap Hari",1.000.000 - 2.500.000,"KPT
 Jl. Patuan Nagari No.73, Pardede Onan, Kec. Balige, Toba, Sumatera Utara 22312",70.000-80.000,,Puskemas Tandang Buhit Balige,HKBP Balige,BNI Balige,SPBU Hutabarat Balige,,,,Pasar Porsea,Pelabuhan Ajibata Swasta,,Seribu Tenda Meat,Pantai Pasir Putir Parparean Porsea,"Rating 4/5
 
 Keindahan Danau Toba tak akan habis - habisnya bisa kita nikmati dari berbagai sudut dan tempat. Kali ini aku menikmati Danau Toba dari Parparean, Porsea. Danau yang masih sunyi dan tempat yang masih asri. Tidak ada pungutan retribusi saat aku menikmati keindahan Danau Toba dari Parparean. Sangat indah dan asri dan danau yang membiru. Silahkan dikunjungi (Sc: tripadvisor.co.id)","5,000",Bukit Senyum Motung,"Rating 5/5
 Lokasi kemping menarik di Danau Toba. Berada di ketinggian yang sangat mengundang kedinginan di malam hari jadi persiapakan perlengkapan tidur yang lengkap agar anda tidak kedinginan di malam hari. Pemandangan yang sangat menarik ketika matahari terbenam dan suasana alam yang masih alami dengan pepohonan di seputar lokasi kemping. (Sc: google.com)",Gratis,,,,,,,,,,,,,,,,,,41-55 tahun,"Relaxation, culture","Heritage, shopping","Comfort, quality"
,Simalungun,"Hotel Atsari Parapat (Jl. TPR SINAGA NO.29 Parapat, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun)",600.000 - 800.000,"Rating 8,5/10
 
 Pelayanan staf hotel ramah, lingkungannya aman dan nyaman. Ada restoran dan cafe yang bagus. Terima kasih. (Sc: traveloka.com)","Homestay Kampung Warna Warni Tigarihit (Parapat, 081314499556)",200k-400k,"Rating 5/5
 
 Homestay yang nyaman bersih dan lengkap. Fasilitasnya oke banget dan harganya aman dikantong. Kita bisa memasak juga disini dan ada taman yang asri. View Danau Toba bisa dilihat dari lantai 2. Disediakan air putih dan teh untuk kita. (Sc: google.com)","Rumah Makan Sederhana (Jl. Siborong Borong-Parapat, Tiga Raja, Kec. Girsang Sipangan Bolon)",20000-35000,"Rating 5/5
 
 Makanan okey Pelayanan cepat Suasana adem Good lah, cocok persinggahan (Sc: google.com)","Rumah Makan Khas Batak PAJAR (Jl. Lintas Sumatera No.132-201, Pinang Ratus, Kec. Jorlang Hatara)",25000-50000,"Rating 5/5
 
 Harga terjangkau, nikmat, mantap, bisa catering, berkualitas.(Sc: google.com)","Pak Pos Cafe (Jl. Sisingamangaraja, Tiga Raja, Kec. Girsang Sipangan Bolon)",25000-50000,"Rating 5/5
 
 Makanannya rata2 enak. Minumnya juga enak. Harga juga masih terjangkau. Desain cafe juga bagus. Cuma jangan duduk dekat pohon ya guys. Banyak nyamuk. Karna lokasinya terbuka. Cocok untuk nyantai dan ngopi disini. Pelayanannya juga lumayan bagus.(Sc: google.com)",,,Toko Khas Parapat (Jalan lintas Parapat),,"KMP Sumut I
  Pelabuhan Tigaras, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21163","30.000-150.000
 Menyesuaikan dengan Jenis Kendaraan","Rute Tigaras-Simanindo
 Tigaras_08.15-19-15
 Simanindo_06.15-17.45","15.000/orang
 15.000/ Kendaraan","Batik Air
 Silangit DTB-Jakarta CGK
 Berangkat- 12.05 dan 14.10
 
 Jakarta CGK - Silangit DTB 
 Tiba- 11.25 dan 14.10
 
 Setiap Hari",1.000.000 - 2.500.000,"KBT
 Jl. Siborongborong - Parapat No.14, Tiga Raja, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",65.000-70.000,,Rumah Sakit Parapat,"Mesjid Taqwa Parapat (Jl. Sisingamangaraja No.2, Simalungun, Kec. Girsang Sipangan Bolon)","BNI Parapat (Sisingamangaraja No.215, Tiga Raja, Kec. Girsang Sipangan Bolon)",,,,"Efata DolarAsia money changer (SOSOr BABA, terminal, Tiga Raja, Girsang Sipangan Bolon)",,Pelabuhan Tiga Raja (Parapat),,APRC,,,,Bukit Indah Simajarunjung,"Rating 5/5
 Tempat wisata yang menarik, cocok untuk anak-anak dan dewasa, banyak spot fotonya yang langsung backgroundnya danau Toba. (Sc: google.com)","15,000",Rumah Bolon Pematang Purba,,"Rating 5/5
 Belajar mengenal sejarah dan Rumah Adat Simalungun sambil menikmati alamnya yg sejuk dan hening. Tetap menjaga dan melestarikan budaya yg ada. Agar wisatawan lokal dan mancanegara tetap berkunjung. (Sc: google.com)",Situs Cagar Budaya Megalitik ‘Batu Gajah’,"Rating 4/5
 Kami telah mengunjungi batu Gajah dalam perjalanan dari arung jeram. Itu adalah tempat yang bagus untuk melihat megalit. Kami juga kagum dengan lokasi tempat situs ini. Itu adalah bagian tengah sawah jadi hijau di sekeliling tempat dengan pemandangan yang menakjubkan. (Sc: google.com)",,,,,"2,595,069",0,,"Indonesia, Batak Simalungun, Inggris",WISATAWAN NUSANTARA = 600.000 - >1.200.000,mei-September,Maret-Oktober,November-Februari,55+ tahun,"Spiritual, heritage",Nature viewing,"Service, accessibility"
,,"Hotel Niagara (Jl. Pembangunan No.1, Parapat, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun (0625 - 41028))",600.000 - 900.000,"Rating 9,4/10
 
 Suasananya sangat nyaman, view-nya juga sangat menyenangkan... Pemandangannya juga keren abis 👍 (Sc: traveloka.com)","Penginapan Pantai Kenangan (Jalan Lintas Tigaras Arah Tanjung Unta,Desa Parmahanan,Kecamatan Dolok Pardamean, Kabupaten Simalungun)",200k-400k,,"Pondok Kharunnisa (Jl. Haranggaol No.23, Tiga Raja, Kec. Girsang Sipangan Bolon)",20000-40000,"Rating 5/5
 
 Rumah makan semi resto dengan aneka menu masakan yg sesuai dengan selera kita,dan yg pasti dengan harga yang pas di kantong pelajar dan mahasiswa,pokoknya mantap abis 👌👌👍 (Sc: google.com)","Rumah Makan Anugerah (Parapat, Girsang Sipangan Bolon)",20000-40000,"Rating 5/5
 
 Respon lumayan cepat, pesan langsung di antar, cocoklah untuk yang tidak tahan lapar, seperti saya🤣. (Sc: google.com)","Warkop Panorama I Panatapan PARAPAT ( Sibaganding, Girsang Sipangan Bolon)",20000-50000,"Rating 5/5
 
 Tempat favorit untuk istirahat sambil ngopi. Udaranya sejuk, view-nya bikin betah langsung dengan view Danau Toba, saat pulang kampung saat naik motor wajib singgah kesini. (Sc: google.com)",,,Toba Nauli (Jalan Haranggaol no 3),,"KMP Sumut II
  Pelabuhan Tigaras, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21164","30.000-150.000
 Menyesuaikan dengan Jenis Kendaraan","Tigaraja-Tomok
 Tigaraja_07.00-15.00
 beroperasi sekali 2 jam
 Tomok_08.30-17.30
 beroperasi sekali 2 jam","15.000/orang
 15.000/ Kendaraan","Citilink
 Silangit DTB - Batam BTH 
 Berangkat- 13.50
 
 Batam BTH - Silangit DTB
 Tiba- 12.30
 
 Senin dan Jumat",1.000.000-2.500.000,"PARISMA
 Jl. Sisingamangaraja No.97, Pardamean Ajibata, Kec. Ajibata, Toba, Sumatera Utara 21174",65.000-70.000,,Hospital Mr. Rondahaim,"Masjid Al Mukhlisin (Pematang Dolok Kahean, Tapian Dolok)","Bank Sumut Parapat (l. Haranggaol No.50, Tiga Raja, Kec. Girsang Sipangan Bolon)",,,,,,Pelabuhan Tigaras (Tigaras),,Fun Fishing Festival H2O (F3H2O) 2023,,,,Pantai Bebas Parapat,"Rating 5/5
 Pantai bebas Parapat yg sangat bagus sekali,.bagi para wisata yg mau liburan,,cobalah datang ke danau Toba,,pasti senang berlibur sama anak anaknya,,danau Toba ini lengkap wahana airnya,biaya wahana murah,.penginapan banyak.makana sekitar danau Toba lengkap. (Sc: google.com)",Gratis,,,,Rumah Adat Simalungun,,,,,,,,,,,,,,,,,
,,"Hotel Khas Parapat (Jl. Marihat No.1, Danau Toba, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun (0625-41012))",650.000 - 950.000,"Rating 9,7 /10
 
 staff hotel yang merespon via wa, luar biasa responsif, jelas, dan sabar menghadapi kebawelan saya. untuk yg superior, tidak hanya sarapan, tapi juga dapat makan siang include lho, kalau yg deluxe malah dapat sarapan, maksi, dan makan malam...dimana ada hotel sebaik itu...
 terus danaunya milik pribadi hehe, tidak bercampur dengan pengunjung di luar hotel, saya lihat pagi2 tepian danaunya dibersihkan, bakalan ke sini lg karena hotelnya instagrammable juga.. (Sc: traveloka.com)",,200k-400k,,"Rumah Makan Pos Parapat (Jl. Sisingamangaraja, Tiga Raja, Kec. Girsang Sipangan Bolon)",25000-50000,"Rating 5/5
 
 Ini salah satu tempat makan halal enak di Parapat. Lokasinya strategis dan nyewa di kantor pos. Menu2nya enak semua di sini kecuali gado2. Telur barendo nya ajib, sopnya segar, arsiknya berasa. Tastenya serasa makanan rumahan dan pastinya dijamin halal. (Sc:google.com)","Rumah Makan Khas Batak Parapat (Jl. Sisingamangaraja, Sipangan Bolon, Kec. Girsang Sipangan Bolon)",25000-50000,"Rating 5/5
 
 Makanannya enak, ikan bakar nya segar. Daun ubi tumbuknya jg enak ,pas dilidah.👍🏻👍🏻 (Sc: google.com)","Sopou Cafe & Resto (Jl. Sutomo, Seribu Dolok, Kec. Silimakuta,)",20000-50000,"Rating 5/5
 
 Siapa nih yg belum ke sini ?
 Sebelum ke Saribudolok, bolehlah mampir sini dulu ngopi2 cantik, lihat view dari rooftop atau menikmati aneka makan dan minum yg disedikan cafe ini. Harga dan rasa sesuailah, worth it di lidah, worth it di kantong ☺️(Sc: google.com)",,,Pago-Pago (Jalan Haranggaol no 3),,,,,,,,KPT,70.000-80.000,,Rumah Sakit Balimbingan,"Masjid Raya Nurul Islam (JL Besar Sidamanik, Sarimatondang, Sidamanik, Ambarisan, Kec. Sidamanik)","BNI Saribudolo (Seribu Dolok, Silimakuta)",,,,,,,,Event Haranggaol Fun Run 2023,,,,Bukit Sipolha,"Rating 5/5
 Suasana danau toba yang nyaman dan asri,
 Datang di hari weekday akan memberikan suasana yang sangat bisa dinikmati, jauh dari kebisingan, hanya ada beberapa orang dan tempat yang bersih.
 Ada 2 pilihan jalan kalau dari arah jalan bah butong. Pilihan jalan pertama, jalannya bagus dan tidak terlalu curam. Tapi kalau pilih jalan yang kedua, maka jalan lebih curam dan lebih panjang jalan rusak nya.
 Di atas bukit nya, kalau siang hari pasti sangat panas, jadi untuk yang mau berkunjung, jangan lupa pakai sun screen yaa, kalau gak mau kulit nya kebakar sinar matahari. (Sc: google.com)","15,000",,,,,,,,,,,,,,WISATAWAN MANCANEGARA = 900.000 - >1.800.000,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEJAHTERA
 Medan-Parapat
 Jl. D.I. Panjaitan I, Pardamean Ajibata, Kec. Ajibata, Toba, Sumatera Utara 21174",70.000-80.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"Damri ( Parapat- Silangit) 
 MW5M+QRH, Jl. Justin Sirait, Pardamean Ajibata, Kec. Ajibata, Kabupaten Simalungun, Sumatera Utara 21174","65.000-220.000 
 (Parapat-Silangit)
 30.000-70.000 
 (Parapat-Siantar)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Karo,"Mickey Holiday Resort (Jl. Jamin Ginting, Desa Sempajaya, Berstagi (0628-91650))",550.000 - 900.000,"Rating 10/10
 
 sudah 2 kali nginap di mikie, selalu puas dengan pelayanannya, variasi sarapan yang sangat banyak jenisnya, rasa masakannya enak, betah sekali dengan suasana lingkungan hotelnya. (Sc: traveloka.com)","Guest House Simole (Jl. Veteran No. 155, Berastagi)",200k-400k,"Rating 8,5/10
 
 Kamar lapang, bersih, air bening, sprei bersih. Peralatan mandi disediakan.. (Sc: traveloka.com)","Rumah Makan Minang Saiyo (Jl. Veteran No.39, Berastagi)",20000-35000,"Rating 5/5
 
 Tempat makan 24jam dengan menu yang variatif, enak, halal, cocok untuk kantong dan ada wifinya. (Sc: google.com)","BPK Tesalonika Peceren (Jl. Jamin Ginting, Desa Sempajaya, Berastagi)",25000-50000,"Rating 5/5
 
 Tempatnya menyenangkan karena disediakan area indoor AC dan outdoor. Pelayanan ramah, sat set menu pesanan langsung disajikan. Semua enak, sayang dagingnya agak kering (bagi saya) tapi rasa tetap enak, arsiknya juga enak. (Sc: google.com)","Cafe Jabu (Jl. Gundaling, Kec. Berastagi)",35000-150000,"Rating 5/5
 
 Tempatnya luas dan nyaman, datang ke sini malam hari suasananya makin adem. Makanannya enak banget, porsinya juga banyak. Worth it banget buat dikunjungi!(Sc: google.com)","Mesikel and Bar (Jl. Trimurti No.58, Berastagi)",,"Toko Kopi Berastagi Pak RM (Jl. Veteran, Kabanjahe)",,"KMP Jurung-Jurung
  Silalahi, Jalan, Tongging, Merek, Karo Regency, North Sumatra 22173","30.000-70.000
 Menyesuaikan dengan Jenis Kendaraan",,,,,Almasar,30.000-50.000,"Sibayak Explore Travel Berastagi
 Tambak Lau Mulgap I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara","RSUD Kabanjahe (Jl. Selamet Ketaren No.08, Kabanjahe)","Masjid Agung Kabanjahe (Jl. Veteran, Kabanjahe)","Mandiri Kabanjahe (Jl. Veteran No. 19, Padang Mas, Kabanjahe)",SPBU Berastagi,Indomaret Merek,Apotek Bethesda Berkat,,Pasar Buah Berastagi,Pelabuhan Tongging,,Festival Bunga dan Buah,Gunung Sibayak,"Rating 4/5
 
 Pendakian yang menyenangkan, tidak membutuhkan waktu yang lama untuk mencapi puncak. Tetapi tetap dibutuhkan kondisi tubuh yang prima. Jika cuaca cerah di pagi hari, matahari terbit menjadi hadiah pendakian yang luar biasa.(Sc: tripadvisor.co.id)","10,000",Bukit Gajah Bobok,"Rating 5/5
 Masuk gratis dengan view yang memanjakan mata dan sekalian naik keatas , ketempat tertinggi biar lebih luas view yang bisa kamu lihat , bisa juga jadi alasan untuk kamu yang mau banyak bergerak karena lumayan memakan tenaga kalau mau naik keatas , overall bagus tempat nya , bersih dan dijaga . (Sc: google.com)","7,500",Musuem Pusaka Karo,,"Rating 5/5
 Meskipun museumnya kecil, namun kaya informasi tentang budaya karo
 Tempatnya bersih nan asri
 Sangat direkomendasi (Sc: google.com)",Rumah Adat Lingga,"Rating 4/5
 Pemandangannya sejuk dan cocok untuk ber wisata. (Sc: google.com)",Desa Wisata Raya Seribu Bunga,"Rating 5/5
 Kemarin masuk kesini nggak dikenakan biaya masuk / uang parkir. Jadi 100% free untuk menikmati keindahan tamannya. Tamannya bersih, nggak ada sampah berserakan dan pemandangannya bagus sekali. Ditambah dengan cuaca Brastagi yang adem, tempat ini cocok banget untuk refreshing dan menghilangkan penat. Ada cafenya juga tapi belum sempat coba makanannya. Next time bakalan kesini lagi sekalian nyobain makanan di cafenya. (Sc: google.com)",Kuliki Paralayang Karo,,"2,305,891",0,,"Indonesia, Inggris, Batak Karo",WISATAWAN NUSANTARA = 400.000 - >800.000,April - September,Juni-Agustus(Sejuk & kering),Oktober-Februari (Kabut tebal),,,,
