place-id,place-name,price-per-head,check-in,check-out,recommend-menu,Fasilitas,address,lat-long,place-type,place-rating,status
,Brain Homestay,"100,000",14.00,,,Sarapan,"Hutabasagasan, Sihiong, Jangga Toruan, Balige, Toba, Sumatera Utara 22386, Indonesia (G3XJ+8G Jangga Toruan, Toba, Sumatera Utara, Indonesia)","2.5482791000000002,99.0812858",Hotel,4.7,beroperasi
,Tiara Bunga Hotel,700.000 - 1.200.000,14.00,11.00,,"Wi-Fi gratis, Sarapan, Parkir gratis, Kolam renang luar, AC, Layanan binatu","Jl. Raya TaraBunga, Tara Bunga, Kec. Tampahan, Toba, Sumatera Utara 22312, Indonesia (927J+48 Tara Bunga, Toba, Sumatera Utara, Indonesia)","2.3628717999999997,99.0308496",Hotel,4.2,beroperasi
,Hotel Santo Djaya,200.000 - 300.000,,,,"Wi-Fi, Tempat Parkir, Cocok Untuk anak - anak","C5W4+447, Jl. Sisingamangaraja, Ps. Porsea, Kec. Porsea, Kabupaten Samosir, Sumatera Utara 22384, Indonesia","2.4452915,99.1552925",Hotel,3.8,beroperasi
,Nauli Inn,250.000 - 400.000,,,,"Sarapan, AC, TV, Air panas, Wi-Fi","Jl. Sibola Hotang No.km 1, RW.2, Sibola Hotangsas, Kec. Balige, Toba, Sumatera Utara, Indonesia (83VH+QG Sibola Hotangsas, Toba, Sumatera Utara, Indonesia)","2.3444332,99.0787909",Pondok,4.9,beroperasi
,Grand Mareda Hotel,,14.00,12.00,,"Wi-Fi, Sarapan Gratis, AC, Layanan Kamar","84X6+XVP, Jl Pasar Melintang, Aruan, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia","2.3499528,99.1122069",Hotel,3.9,beroperasi
,Hotel O Balige City Near Tugu Juara Monang,"78,000",,,,,"Pohan Julu, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (7379+H7 Pohan Julu, Kabupaten Tapanuli Utara, Sumatera Utara, Indonesia)","2.2639672,99.0681668",Hotel,5,beroperasi
,Pudan Residence,"107,000",,12.00,,"Wi-Fi, AC, Parkir Gratis","Jl. Parluasan, Balige II, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83JC+JG Balige II, Toba, Sumatera Utara, Indonesia)","2.3315951999999998,99.0713519",Guest house,3.9,beroperasi
,RAP Hotel Balige,"240,000",14.00,,,"Wi-Fi, Parkir Gratis, AC, Cocok untuk anak-anak","Jl. Pendeta Munson Jl. Pardede Pasir No.9, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M6+J8 Pardede Onan, Toba, Sumatera Utara, Indonesia)","2.3341051999999998,99.0607736",Hotel,4,beroperasi
,J&J Guest House 1 Rumah,"800,000",14.00,12.00,,"Dapat diakses, Sarapan berbayar, Parkir Gratis","Jalan, Napitupulu Bagasan, Kec. Balige, Toba, Sumatera Utara 22311, Indonesia (83P8+C2 Napitupulu Bagasan, Toba, Sumatera Utara, Indonesia)","2.336051,99.0650606",Hotel,4.3,beroperasi
,Brussels Homestay,"280,000",,,,"Wi-Fi, Parkir Gratis, Cocok untuk anak-anak","Jl. D. I. Panjaitan no. 14, balige, Sumatera Utara 22312, Indonesia (83P7+F9 Napitupulu Bagasan, Toba, Sumatera Utara, Indonesia)","2.33624,99.0634391",Rumah wisata,4.6,beroperasi
,SAPADIA VILLA BALIGE II,"800,000",,,,"Parkir Gratis, Live Music","83H8+9R8, Balige III, Kec. Balige, Toba, Sumatera Utara, Indonesia","2.3284243,99.0670912",Vila,4.6,beroperasi
,Hotel Adela,"40,000",14.00,12.00,,"Wi-Fi, Parkir Gratis, AC","Jl, Sitangkola, Kec. Laguboti, Toba, Sumatera Utara 22381, Indonesia (84MH+GJ Sitangkola, Toba, Sumatera Utara, Indonesia)","2.3338055,99.1290349",Hotel,4.1,beroperasi
,Vany Villa Balige,"700,000",,,,Kolam renang anak-anak,"Jl. By Pass Balige, Sianipar Sihailhail, Kec. Balige, Toba, Sumatera Utara 22311, Indonesia (83C6+3Q Sianipar Sihailhail, Toba, Sumatera Utara, Indonesia)","2.3202379,99.0619852",Hotel,4.6,beroperasi
,"Labersa Hotel and Convention Center Toba, Balige","900,000",,12.00,,"Wi-Fi gratis, Sarapan, Parkir gratis, Kolam renang luar, AC, Layanan binatu","Saribu Raja Janji Maria, Kec. Balige, Toba, Sumatera Utara, Indonesia (83QJ+FM Saribu Raja Janji Maria, Toba, Sumatera Utara, Indonesia)","2.3386395,99.0816343",Hotel Resor,4.5,beroperasi
,Lago Hotel & Resto,30.000 - 700.000,14.00,12.00,,"Wi-Fi gratis, Sarapan, Parkir gratis, AC, Restoran","Jl. Sibola Hotang, Sibola Hotangsas, Toba, Sumatera Utara 22312, Indonesia (83WH+79 Sibola Hotangsas, Toba, Sumatera Utara, Indonesia)","2.3456277,99.078423",Hotel,4.5,beroperasi
,OYO 90645 Karisma Residence,"100,000",14.00,,,"Wi-Fi, Parkir Gratis, AC","242, Jl. Sisingamangaraja No.242B, Balige I, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83MC+J8 Balige II, Toba, Sumatera Utara, Indonesia)","2.3340345,99.0708738",Hotel,3.6,beroperasi
,Hotel Sere Nauli,"400,000",14.00,12.00,,"Wi-Fi gratis, Sarapan, Parkir gratis, Kolam renang luar, AC, Layanan binatu","Jl. Sisingamangaraja No.1, Ps. Laguboti, Kec. Laguboti, Toba, Sumatera Utara 22381, Indonesia (943C+4P Ps. Laguboti, Toba, Sumatera Utara, Indonesia)","2.3528556,99.1217736",Hotel,4.1,beroperasi
,Purnama Balige Hotel,"400,000",14.00,12.00,,"Wi-Fi gratis, Sarapan berbayar, Parkir gratis, AC, Layanan binatu","83M5+RR6, Jl. Pardede Pasir No.10, Kec. Balige, Sumatera Utara 22314, Indonesia","2.3345625,99.0595625",Hotel,4,beroperasi
,Tendy Guest House,"400,000",,,,"Kamar, Eksterior","Jl. Siborongborong - Parapat, Patane V, Kec. Porsea, Toba, Sumatera Utara 22384, Indonesia (F532+3M Patane V, Toba, Sumatera Utara, Indonesia)","2.4527418,99.1516836",Guest house,4.6,beroperasi
,TASYA HOMESTAY,"40,000",,,,,"Jl. Lintas Sumatera, Patane III, Kec. Porsea, Toba, Sumatera Utara 22384, Indonesia (C5X3+V6 Patane III, Toba, Sumatera Utara, Indonesia)","2.4496319,99.1530834",Motel,3,beroperasi
,Hotel Nabasa,"350,000",,,,"Wi-Fi gratis, Sarapan, Parkir gratis, AC, Layanan binatu","Jl. Siliwangi No.8, Kec. Balige, Toba, Sumatera Utara, Indonesia (83P6+9X Napitupulu Bagasan, Toba, Sumatera Utara, Indonesia)","2.3359467,99.0624334",Hotel,4.1,beroperasi
,Mutiara Balige Hotel,"300,000",13.00,12.00,,"Wi-Fi gratis, Sarapan, Parkir gratis, AC, Layanan binatu","Sibola Hotangsas, Kec. Balige, Toba, Sumatera Utara, Indonesia (83M5+CG Sibola Hotangsas, Toba, Sumatera Utara, Indonesia)","2.333572,99.058865",Hotel,4.1,beroperasi
,The Boat Homestay and Spa,"330,000",,,,Sarapan,"Jl. Tarutung No.100, Sangkar Nihuta, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83H3+MR Sangkar Nihuta, Toba, Sumatera Utara, Indonesia)","2.3291886,99.0545349",Rumah wisata,4.3,beroperasi
,Hotel Dizomn,,,,,Waterheater,"Jl. D.I Panjaitan No.19, Napitupulu Bagasan, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83P7+HJ Napitupulu Bagasan, Toba, Sumatera Utara, Indonesia)","2.3364256,99.0640091",Hotel,3.6,beroperasi
,HOTEL BAHAGIA BALIGE,,,,,,"Jl. Sisingamangaraja Kelurahan No.21, Napitupulu Bagasan, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M8+Q2 Napitupulu Bagasan, Toba, Sumatera Utara, Indonesia)","2.3343907,99.065022",Hotel,4,beroperasi
,wisma LAKSAMANA,,,,,,"Jl. Mulia Raja No.20, Kelurahan Napitu Puluh, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83Q7+3C Napitupulu Bagasan, Toba, Sumatera Utara, Indonesia)","2.3376991,99.0635266",Hotel,4.2,beroperasi
,Pondok Siliwangi 26,,,,,,"Jl. Siliwangi, Toba, Sumatera Utara, Indonesia (83P6+6R Pardede Onan, Toba, Sumatera Utara, Indonesia)","2.3355892,99.0620598",Hotel,4.2,beroperasi
,Ita Soposurung Hotel,,14.00,00.00,,"Wifi, Sarapan, Parkir Gratis, AC, Layanan Bibatu","Jl. Lintas Sumatera No.252, Hinalang Bagasan, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (82GX+RX Hinalang Bagasan, Toba, Sumatera Utara, Indonesia)","2.3270655,99.0499578",Hotel,4.4,beroperasi
,Tabo Cottages,"800,000",14.00,12.00,,"Wifi gratis, Sarapan gratis, Parkir gratis, Kolam renang luar, AC","Jl. Lkr. Tuktuk No.115 Toba, Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara 22395","2.6705926753666263,98.85592409201921",Restoran,4.6,beroperasi
,Toba Village inn,"400,000",12.00,12.00,,Dekat dengan transportasi umum dan bandara,"Kampung Tuktuk Siadong, Kecamatan Simanindo, Ambarita, Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara 22395","2.6693009131933585,98.85349290366256",Hotel bintang 3,,beroperasi
,Romlan Guesthouse,"200,000",14.30,12.00,,"Wi-fi gratis, Sarapan berbayar, Parkir berbayar, Layanan binatu","Tuktuk; Siadong 36; RI-22395, Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara 22395","2.673559788996702,98.86060370736189",Hotel bintang 3,4.9,beroperasi
,Carolina Hotel,"400,000",14.00,12.00,,"Wifi gratis, Sarapan gratis, Parkir gratis, AC, Layanan Binatu ","Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara 22395","2.6688426101059965,98.86132867667654",Hotel bintang 2,4.3,beroperasi
,TOPI TAO HOMESTAY PANGURURAN (KAWASAN WATERFRONT CITY),,,,,View Danau Toba,"Jl. Putri Lopian, Pardomuan I, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392","2.6068400229917223,98.69808932085448",Restoran,4.4,beroperasi
,Hotel and Restaurant Singgalang,,,22.00,"Bandrek, Sop Perut Ikan, Sayur Kangkung Dan Ikan Nila, Juice Jeruk, Nasi Goreng, Udang Tauco, Ikan Tauco, Udang Goreng Tepung Oats, Ifu Mie Goreng, Es Kopi Susu, Padang Restaurant Assorted Meals, Stir Fry Cuttlefish, Stir Fried Bean Sprouts, Stir Fried Mix Vegetables, Ayam Penyet, Hot Plate Tofu, Garlic Chicken, Kwetiaw Goreng, Stir Fry Vermicelli",,"Jl. Sisingamangaraja No.52, Tiga Raja, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174","2.667133089956276,98.93924339016954",China,4.7,beroperasi
,Thyesza Hotel Resort,"350,000",14.00,12.00,,"Wi-fi gratis, Sarapan gratis, Parkir gratis, dapat diakses, kolam renang luar, AC","Unjur, Jl. Pulau Samosir, Simanindo, Kabupaten Samosir, Sumatera Utara 22395","2.693863836894016,98.82096687667669",Restoran,3.8,beroperasi
,Bagus Bay Guest House,"130,000",14.00,12.00,,Parkir Gratis,"Jl. Lkr. Tuktuk No.Kelurahan, Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara 22395","2.670105989512679,98.85502157667653",Hotel,5,beroperasi
