place-id,place-name,price-per-head,opening-hours,recommend-menu,Fasilitas,address,lat-long,place-type,place-rating,status
1,Cantik Daijo Cafe,25.000 - 50.000,,"Vanila Milk Shake, Dimsum Udang, Kopi Americano, Tempe Crispy, Teh Tarik, Nasi Lele Daijo, Kwetiau Hot Plate Seafood Gila, Nasi Ayam Penyet Sambal Belacan, Daijo Pizza, Nasi Goreng Spesial, Mie Hot Plate Special, Ice Thai Tea, Steak Salad, Daijo Egg Waffle, Drip Coffee, Pizza Complete, French Fries, Cappuccino Latte, Chicken Katsu, Tomyam Seafood.",,"Jl. Sisingamangaraja, Aruan, Kec. Laguboti, Toba, Sumatera Utara 22381, Indonesia (9429+Q3 Aruan, Toba, Sumatera Utara, Indonesia)","2.35191,99.1176317",Restoran,4.4,beroperasi
2,Rumah Makan Romauli,,,"Babi Panggang, Sop Kosong, Daging Babi Arsik Pakai Tubis, Jahir Panggang, Naniura, ",,"86HM+J26, Jl. Parsoburan, Parsoburan Bar., Kec. Habinsaran, Toba, Sumatera Utara 22384, Indonesia","2.3290292,99.232502",Restoran,4.3,beroperasi
3,"Kedai Islam ""Rahayu""","25,000",,"Mushola, Halal",,"86HM+G6Q, Jl. Parsoburan, Parsoburan Bar., Kec. Habinsaran, Toba, Sumatera Utara 22384, Indonesia","2.328846,99.2331035",Restoran,4.5,beroperasi
4,Sinar Minang Restaurant & Convention Hall,25.000 - 75.000,,"Jeroan Masak Gule, Rendang, Sambal, Teh Talua Teh Telur, Dendeng, Ayam Balado, Sup Daging Sapi, Ikan Goreng, Nasi Ayam Goreng Telur Dadar, Aneka Masakan Khas Padang Melayu, Sayur Kailan, Nasi Padang, Sajian Lauk, Gulai Ayam Kampung, Kopi Susu, Makanan Padang, Telor Dadar, Jengkol Teri Cabe IJO, Kerupuk Gulai, Sayur Nangka.",,"Jl. Siborongborong - Parapat No.2, Sibola Hotangsas, Kec. Balige, Toba, Sumatera Utara, Indonesia (83PF+C8 Sibola Hotangsas, Toba, Sumatera Utara, Indonesia)","2.3360012,99.0733666", ,4.4,beroperasi
5,Damar Toba ~ Lakeside Eatery & Stay,30.000 - 700.000,14.00,"Mie Gomak, Mie Goreng, Sate, Fried Rice with Chicken Wings, Kopi Latte, Ikan Naniura, Nasi Liwet Daging Balado, Mango Sticky Rice Pudding, Caffè Latte, Fish Fillet Natinombur, Americano Coffee, American Breakfast, Ice Cream Croissant.",,"Jl. Pemandian No.94, Kec. Balige, Sumatera Utara 22312, Indonesia (83R2+56 Lumban Silintong, Toba, Sumatera Utara, Indonesia)","2.3404454,99.0505864",Restoran,4.8,beroperasi
6,BPK TAMBAR LIHE CLARISSA GURUSINGA,"25,000",,Babi Panggang Karo,,"96V4+FP7 paranggitingan samping SD center, Jl. D.I. Panjaitan, Marsangap, Kec. Silaen, Toba, Sumatera Utara 22384, Indonesia","2.3936637,99.2068009",Restoran,4.8,beroperasi
7,Warunk Friendzone,"25,000",,Bihun Goreng Sosis,,"Narumonda 1, Kec. Siantar Narumonda, Sumatera Utara 22384, Indonesia (C5CH+83 Narumonda VII, Toba, Sumatera Utara, Indonesia)","2.4208568,99.1776305",Restoran,2.7,beroperasi
8,SOP Kerbau Siparo Gogo,25.000 - 50.000,,"Sop Kerbau, Sop Daging Kerbau",,"C5FH+VVJ, Unnamed Road, Narumonda III, Kec. Siantar Narumonda, Toba, Sumatera Utara 22384, Indonesia","2.4247075,99.1796321",Restoran,4.6,beroperasi
9,Rumah Makan Rizal,25.000 - 50.000,,,,"Banua Huta, Kec. Sigumpar, Toba, Sumatera Utara 22384, Indonesia (95XC+6M Banua Huta, Toba, Sumatera Utara, Indonesia)","2.3980625,99.1716875",Restoran,4.2,beroperasi
10,RAJA SEAFOOD BALIGE,,,"Taoge Ikan Asin, Sop Bakso Ikan, Cateringan Nasi Kotak, Seafood Tumpah",,"Jl. Patuan Nagari, Pardede Onan, Kec. Balige, Toba, Sumatera Utara, Indonesia (83M7+HC Pardede Onan, Toba, Sumatera Utara, Indonesia)","2.3339313,99.0636019",Restoran,5,beroperasi
11,Toba Corner Restaurant,,,"Nasi Goreng, Aneka Jus",,"83M6+74V, Pardede Onan, Kec. Balige, Toba, Sumatera Utara, Indonesia","2.3332267,99.0603032",Restoran,4.3,beroperasi
12,RM. GOMGOM KHAS BATAK,,,"Babi Panggang, Sambal Natinombur, Saksang, Arsik",,"83M4+629, Jl. Dr. Sutomo, Sangkar Nihuta, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia","2.3330288,99.0551148",Restoran,4.9,beroperasi
13,RM Lapo Jior,25.000 - 50.000,,,,"Jl. Sisingamangaraja No.47, Sibola Hotangsas, Kec. Balige, Toba, Sumatera Utara, Indonesia (83PH+Q3 Sibola Hotangsas, Toba, Sumatera Utara, Indonesia)","2.3369915,99.0776382",Restoran,4.6,beroperasi
14,"""Happy"" Noodle Restaurant",25.000 - 50.000,,"Mie Goreng, Kwetiau Goreng, Nasi Goreng Babi, Bakmi Kuah",,"Napitupulu Bagasan, Kec. Balige, Toba, Sumatera Utara, Indonesia (83M8+RG Napitupulu Bagasan, Toba, Sumatera Utara, Indonesia)","2.3345485999999998,99.0663699",Restoran,4.5,beroperasi
15,BPK PANCA JAYA,25.000 - 50.000,,"Babi Panggang Karo, Babi Tubis, Saksang, Cincang, Ikan Mas Arsik, Ikan Jahir Panggang",,"83CC+V5C, Jl. By Pass Balige, Balige III, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia","2.3221766,99.0704027",Restoran,4.8,beroperasi
16,ijabu Coffee & Roastery,25.000 - 50.000,,,,"Jl. Raja Paindoan, Lumban Dolok Haume Bange, Kec. Balige, Toba, Sumatera Utara, Indonesia (83M8+83 Lumban Dolok Haume Bange, Toba, Sumatera Utara, Indonesia)","2.3332810999999998,99.0651414",Restoran,5,beroperasi
17,GotiL F&B,25.000 - 50.000,,"Bebek Gotil, Ayam Gotil, Minuman Mix Max Blue Ocean, Dimsum Soup, Soup Ayam, Green Tea Mlikshake",,"Jl. Patuan Anggi No.28, Lumban Dolok Haume Bange, Kec. Balige, Toba, Sumatera Utara 22314, Indonesia (83M7+GQ Lumban Dolok Haume Bange, Toba, Sumatera Utara, Indonesia)","2.3338544,99.0644612",Restoran,4.6,beroperasi
18,Point Coffee Balige,25.000 - 50.000,,"Kopi Jadul, Latte, Affogato Point, Dolge Coffee, Mochachino, Cafe Dolce",,"83M9+HJM, Jl. Sisingamangaraja, Balige II, Kec. Balige, Toba, Sumatera Utara 22316, Indonesia","2.3339509,99.0690373",Restoran,4.7,beroperasi
19,SIPPIN,25.000 - 50.000,,,,"Jl. Sisingamangaraja No.70, Balige II, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M9+PH Balige II, Toba, Sumatera Utara, Indonesia)","2.3342572,99.06889",Restoran,4.1,beroperasi
20,Amora Cafe,,,,,"83CQ+GVR, Parsuratan, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia","2.3213606,99.0896447",Restoran,3.8,beroperasi
21,Rumah Makan Panca,25.000 - 50.000,,"B2 Panggang, B2 Goreng, Kripik Balado, Tubis, B2 Saksang, Ikan Mas Arsik, B2 Tanggo-Tanggo, Ikan Jahir Natinombur, B2 Bag Dalam, Butuha Raja, Ikan Jahir Goreng, B2 Arsik, Daun Singkong Tumbuk, Mujair Bakar",,"Jl. Raja Paindoan No.14, Lumban Dolok Haume Bange, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M8+68 Lumban Dolok Haume Bange, Toba, Sumatera Utara, Indonesia)","2.3330276,99.0658293",Restoran,4.5,beroperasi
