place,type,entry-fee,rating,addons,add,service-hour,review,
Pantai Pasir Putih Lumban Bul-bul Balige,Wisata Alam,5.000 - 10.000,"4,3","Berenang, Sunset, Sunrise, Banana Boat, Kano, Spot Foto, ","83XF+9VQ, Lumban Bulbul, Kec. Balige, Toba, Sumatera Utara",07.00 - 21.30,"""Gratis, bersih, banyak tempat bermain.""",
Bukit Pahoda,Wisata Alam,Gratis,"4,6","Sunset, Sunrise, Spot Foto, Hidden Gem","82XR+J4W, Lumban Silintong, Kec. Balige, Toba, Sumatera Utara 22312",05.00 - 17.00,"""Tempat yg sngt rekomended,tinggal mnunggu sentuhan dri pemerintah""",
Desa Wisata Silalahi Pagar Batu,Wisata Alam,Gratis,"5,0",Tempat sejarah,"Jl. Dr. TB. Silalahi, Hinalang Bagasan, Kec. Balige, Toba, Sumatera Utara 22312",09.00 - 17.00,"""Pengalaman yang bisa menambah umur.""",
Air terjun siboruon balige,Wisata Alam,Gratis,"4,7",Spot foto,"73QM+VH2, Siboruon, Kec. Balige, Toba, Sumatera Utara 22312",08.00 - 17.00,"""Air terjun bagus…jarak kurleb 1,5 jam dari tarutung.""",
Puncak Paralayang Sibodiala,Wisata Alam,5.000 - 10.000,"4,7","Tempat makan, paralayang, spot foto","828R+Q2, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara",05.00 - 21.00,"""Tempatnya bagus,tinggal akses aja yg dipeaiki""",
Pantai Pelangi,Wisata Alam,5.000 - 10.000,"4,6",Tempat memancing,"934X+C47 Pantai pelangi, Lumban Pea, Kec. Balige, Toba, Sumatera Utara",07.00 - 21.30,"""Tempatnya bagus dan cocok untuk tempat healing""",
Penatapan Meat Balige,Wisata Alam,Gratis,"4,6",Spot foto,"82P4+W4H, Jl. Raya Meat, Meat, Toba, Sumatera Utara 22312",24 jam ,"""Masih sepi, tapi utk suasana bagus""",
Pantai Meat,Wisata Alam,Gratis,"4,3",Spot foto,"Jl. Raya Meat, Meat, Kec. Tampahan, Toba, Sumatera Utara 22312",24 jam ,"""Pemandangan yg bagus belum diimbangi akses dan fasilitas umum yg baik""",
Tambunan Sunset Beach,Wisata Alam,Gratis,"4,4",Spot foto,932M+7WH,24 jam ,"""Tempat",
Wisata Bukit Gibeon,Wisata Alam,5.000 - 10.000,"4,5","Kolam renang, Kebun jeruk, Kopi, Tempat wisata rohani","HXRX+84Q, UnSionggang Utara, Kec. Lumban Julu, Toba, Sumatera Utara 21174",24 jam ,"""Dan yg dewasa juga ada besar dan luass sekali kolamnya""",
WISATA PUNCAK PANGKODIAN,Wisata Alam,5.000 - 10.000,"4,4","Spot foto, tempat kemah","82R5+CFX, Jl. Pangkodian, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312",24 jam ,"""Tempat yg cukup indah,bisa berenang""",
Bukit Tara Bunga,Wisata Alam,5.000 - 10.000,"4,5","Spot foto, tempat kemah","82V8+RW6, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312",24 jam ,"""Pemandangan yang bagus baik saat pagi, siang maupun sore hari (sunset)""",
Air Terjun Sampuran,Wisata Alam,Gratis,"4,3",Spot foto,"74GV+3G3, Huta Namora, Kec. Balige, Toba, Sumatera Utara 22312",24 jam ,"""Sudah 2 kali ke tempat ini, tempat yg indah menurut sy.""",
Geosite Sipinsur,Wisata Alam,5.000 - 10.000,"4,6","Kuliner, parkir, toilet, spot foto pohon pinus","Parulohan, Kec. Paranginan, Kabupaten Humbang Hasundutan, Sumatera Utara 22476",07.00 - 23.00,"""Tempat wisata yg terjangkau, asri dan bersih serta viewnya juga bagus.""",
Wisata Rumah Pohon,Wisata Alam,5.000 - 10.000,"4,5",spot foto pohon pinus,"922G+H4F, Jl. Raya TaraBunga, Tara Bunga, Kec. Tampahan, Toba, Sumatera Utara 22312",24 jam,"""Tempatnya bagus
Spotnya juga keren2 gk nyesal sama sekali""",
Air Terjun Situmurun,Wisata Alam,5.000 - 10.000,"4,6","Air terjun, toilet","Jonggi Nihuta, Hatinggian, Kec. Lumban Julu, Toba, Sumatera Utara 22386",08.00 - 17.00,"""Fasilitas tersedia : toilet, penjual pop mie dengan hrg 10""",
Batu Basiha,Wisata Alam,Gratis,"4,5",Tempat sejarah,"825R+VFP, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara 22312",24 jam,"""Alamnya bagus, tetapi object utamanya kurang menarik""",
Air Terjun Sigura-Gura,Wisata Alam,10.000 - 20.000,"4,4",Spot foto air terjun,"H833+VRV, Halado, Kec. Pintu Pohan Merant, Toba, Sumatera Utara 21274",24 jam ,"""Tapi asli sekeren itu bearengan dengan munculnya pelangi.""",
Puncak Huta Ginjang,Wisata Alam,5.000 - 10.000,"4,7",Spot foto,"8X7C+WCJ, Sitanggor, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara 22476",24 jam ,"""Tempat nya keren,, untuk menikmati sisi lain pemandangan danau toba..""",
Pantai Parparean 2,Wisata Alam,5.000 - 10.000,"4,5","Sunset, sunrise","C4MX+F73, Jl. Lintas Sumatera, Patane V, Kec. Porsea, Toba, Sumatera Utara 22384",08.00 - 18.00,"""Tempat nya sangat bersih
Masih alami
Tapi belum ada wahana air nya""",
Boli Boli Hot Spring,Wisata Alam ,"70,000","4,2","pemandian air panas, toilet","Situmeang Hasundutan, Kec. Sipoholon, Kabupaten Tapanuli Utara, Sumatera Utara 22452",24 jam ,"""tempat pemandin air panas bagus dan bersih""",
Bukit Senyum,Wisata Alam,Gratis,"4,7","Tempat foto, tempat berkemah ","JWPC+8C4, Motung, Kec. Ajibata, Toba, Sumatera Utara",24 jam,"""pemandangannya bagus banget, bersih jugaa, toilet bersih""",
Bukit Tara Bunga,Wisata Alam,5.000 - 10.000,"4,5","Spot foto, tempat kemah","82V8+RW6, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312",24 jam ,"""Pemandangan yang bagus baik saat pagi, siang maupun sore hari (sunset)""",
Panorama Adian Nalambok,Wisata Alam,Gratis,4.4,Spot foto,"Jl. Lintas Sumatera No.126, Gurgur Aek Raja, Kec. Tampahan, Toba, Sumatera Utara 22312",08.00 - 21.00,"""Pemandangan Indah udaranya sejuk""",
Arung Jeram Desa Parhitean,Wisata Alam,Gratis,5,River rafting,"Jalan Lintas Sigura - Gura, Parhitean, North Meranti, Pintu Pohan Merant, Toba, North Sumatra 21274",08.00 - 17.00,"""Salah satu ter the best Rafting di Dunia
sangat seru dan luar biasa menegangkan PUAS PUAS PUAS""",
Pantai Hatulian ,Wisata Alam,Gratis,4.3,,,24 jam,,Tutup
Pantai Pardinggaran,Wisata Alam,Gratis,4.6,,"94GC+FF9 Toruan, Pardinggaran, Kec. Laguboti, Toba, Sumatera Utara",24 jam,,Tutup
Pantai Lumban Silintong,Wisata Alam,Gratis,5,"Sunset, kuliner lokal, supeoat, snorkeling"," Lumban Silintong, Kec. Balige, Sumatera Utara",24 jam,"""Tempat bagus, restoran nya banyak yang recommended""",
Pantai Pakkodian Tampahan,Wisata Alam,Gratis,4.5,"Tempat berkemah, tempat makan ","Danau Toba, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312 82Q7+R9",24 jam,"""Lokasi Sangat Cocok Buat Camping Bareng Temen Dan Keluarga.
Lokasi 10/10 (ada di G.Maps)
Jalur Akses 6/10 (jalan bekas beton terkelupas)
Suasana 10/10 (kalo malem dingin, saran bawa pakaian tebal/jaket)
Fasilitas 8/10 (tinggal dijaga kebersihannya)
Rekomendasi 10/10
Budged Ramah Buat Kantong (saran bawa logistik sendiri)
Nilai Plus (Opungnya Ramah²)""",
Pantai Pasifik Porsea,Wisata Alam,Gratis,4,,,24 jam,,Tutup
Pantai Janji Maria,Wisata Alam,Gratis,4.2,,"Saribu Raja Janji Maria, Kec. Balige, Toba, Sumatera Utara",24 jam,,Tutup
Wisata Alam Fishing-Camp Siarubung,Wisata Alam,10.000 - 50.000,4.9,"spot memancing, sewa kayu bakar, sewa tenda, toilet, kano ","HM76+88, Turpuk Limbong, Kec. Harian, Kabupaten Samosir, Sumatera Utara",24 jam,"""Tempatnya asri, dibalik pegunungan, menghadap langsung ke Danau Toba. Lapaknya sudah dibatasi dengan batu sehingga kalau kita mendirikan tenda apabila hujan tidak takut rembes dari tanah. Biaya sewa lapak + kayu bakar sekitar Rp50.000.
Bisa bawa tenda sendiri, bisa juga sewa pada penyedia. Harga per paket bervariasi. Kamar mandi ada 2.""",
Air Terjun Binanga Bolon,Wisata Alam,Gratis,4.6,spot foto,"Pua Dolok, Kec. Pua, Kabupaten Simalungun, Sumatera Utara 21165 RPWH+FG ",24 jam,"""*Dari jalan tiga ras,di mulai gereja GKPS lalu belok kanan,itu adalah perjalanan yg cukup buat pinggang lelah,sekitar 1,5 jam sampai tujuan,jalan lumayan berat rusak,jgn ragu,jalan saja terus. Saran saya jika bisa jgn pakai motor matic,karena batu batu di jalan cukup besar. Untuk air terjun nya,akses dari jalan yg sudah di buat penduduk belum selesai semua,anda harus berjalan kaki dan lompat dari batu ke batu.
*Tidak ada tempat yg rata di sekitaran air terjun untuk duduk dan beristirahat,anda akan basah oleh bintik bintik air terjun.
*yg pasti air terjun nya masih alami,bahkan saya dan semua teman minum dari air terjun tersebut.""",
Air Terjun Sigarattung,Wisata Alam,5.000 - 10.000,4.5,spot foto,"JV67+2MF, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",24 jam,"""Air Terjun Sigarattung, juga dikenal sebagai Sampuran Na Pitu, adalah salah satu keajaiban alam langka yang dapat Anda kagumi tanpa perlu bersusah payah. Tidak ada trekking di hutan, tidak ada lintah, tidak ada pendakian eksistensial, cukup menepi di pinggir jalan, arahkan kamera Anda, dan berpura-pura menjadi Bear Grylls yang sedang istirahat.

Air terjun ini jatuh secara dramatis melalui pepohonan lebat, memberikan performa penuh bahkan jika Anda hanya menonton dari aspal. Ini kuat, indah, dan cukup keras untuk meredam obrolan ringan. Sempurna untuk berhenti sejenak untuk meregangkan kaki, mengambil beberapa foto, dan mempertanyakan mengapa tempat megah ini tidak begitu terkenal.""",
Batu Marhosa,Wisata Alam,Gratis,4.2,"tempat parkir, spot foto ","JV39+M62, Jl. Pulau Samosir, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",24 jam,"""Batu Marhosa merupakan wisata keajaiban Alam, saya tidak tau istilahnya. tapi ada aliran dingin yang keluar dari batu ini. bukan merupakan tempat wisata, jadi tidak ada pengelolanya. terletak di pinggir jalan dan tidak ada tanda/ papan nama. tidak ada sinyal di sekitar lokasi. kemungkinan anda bisa tersesat. tapi saya ada foto ada air terjun kecil didekatnya bisa dijadikan patokan dan sedikit ruang parkir.""",
Danau Sidihoni,Wisata Alam,Gratis,4.4,"tempat memancing, spot foto","Salaon Toba, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara",24 jam,"""Danau tenang yang dikelilingi oleh padang rumput yang populer untuk jalan-jalan & piknik keluarga. Danau di dalam area danau. Danau Sidihoni terletak di daerah Sidihoni yang berada di Pangururan masih berada di area di Pulau Samosir, Danau Toba, Kabupaten Samosir juga. Tidak besar tapi cukup asri dan bagus. Sering dijadikan sebagai tempat memancing masyarakat sekitar dan tentu saja sebagai tempat wisata.""",
Bukit Sidihoni,Wisata Alam,5.000 - 10.000,4.6,tempat parkir,"JP4X+3HP, Sidihoni atas, Salaon Toba, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara 22392",24 jam,"""Sebuah tempat yang lumayan iconic setelah menjadi lokasi pre-wedding artis. Bukitnya indah dengan gereja di puncaknya. Tepat di bawah bukit ini terdapat danau dengan nama yang sama, yang di sebut danau di atas danau. Masuk ke lokasi ini dari samping rumah penduduk, melewati lahan pertanian.""",
Cottage Aek Tawar Sari,Wisata Alam,Gratis,4.8,spot foto,"Ronggur Nihuta, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara HQQJ+8H",24 jam,"""Tempatnya bagus untuk menikmati senja yang mampir ke bumi, sangat ku rekomendasikan untuk didatangi jika berkunjung ke pulau samosir.""",
Panorama Lembah Bakara,Wisata Alam,Gratis,5,"spot foto, tempat healing","8VR5+VP, Huta Lontung, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara",24 jam,"""Lokasi teaik untuk spot foto""",
Bukit Simargulang Ombun,Wisata Alam,5.000 - 10.000,4.4,spot foto,"Kode Pos, Desa, Parulohan, Kec. Lintong Nihuta, Kabupaten Humbang Hasundutan, Sumatera Utara 22475 8VP7+8G",24 jam,"""Tidak sengaja berkunjung ke tempat yang super indah dan nyaman ini. Awalnya solo touring menuju Bakara, dan singgah untuk istirahat minum kopi sebentar. Ehhh...ternyata disuguhkan dengan pemandangan indah, dan ownernya ramah. Kopinya juga magnus👍""",
Bukit Sipatungan,Wisata Alam,Gratis,4.5,"spot foto, tempat singgah sejenak","CQGV+X8C, Sabulan, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara",24 jam,"""Suasana baguss,.. Pemandangan nya bagus sekali..
Lebih baik pergi di pagi hari sekitar subuh.. biar dapat matahari teitnya...
Biar gak terlalu panas kali.
Perjalanannya penuh perjuangan.
LHT dan LHP semakin didepan""",
Bukit Simargulang Ombun,Wisata Alam,Gratis,4.6,spot foto,"GP4Q+GG6, Tamba Dolok, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara",24 jam,"""Tempat Wisata Pemandangan Alam yg sangat Indah Sejuk, Asri.
Tiada dua ny..
#SamosirIsland #Negri Indah Kepingan Surga.""",
Air Terjun Sitapigagan,Wisata Alam,Gratis,4.5,"lingkungan asri, hidden gem","JJQ5+QR, Bonan Dolok, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",09.00 - 17.00,"""The real hidden gem. Butuh perjuangan kemari. Masih benar benar alami.""",
Singgolom,Wisata Alam,Gratis,4.8,spot foto,"Jl. Singgolom Raya, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312 82V9+43 ",24 jam,"""Lokasi keren untuk melihat sunset dan menatap keindahan danau toba dari sekitar kota balige""",
Puncak Panorama Aek Nauli,Wisata Alam,Gratis,4.6,"jalur tracking, pemandangan indah","PW5J+F55, Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",24 jam,"""Sudah berkali-kali ke tempat ini, walaupun perjuangannya lumayan bikin ngos2an tapi ga akan kecewa kalo udah sampai sini, kalian bisa lihat sisi lain pemandangan danau toba di tengah sejuknya udara dan hutan yang asri""",
Pusat Informasi Toba Caldera UNESCO Global Geopark,Wisata Alam,"10,000",4.6,"pemandangan bukit hijau, toilet","HJVM+CCF, Sigulatti, Sarimarrihit, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",09.00 - 17.00,"""Mereka menampilkan video tentang sejarah geografis teentuknya Danau Toba, serta memberikan panduan untuk menjelaskan informasi lebih mendalam tentang spesies di sekitar Danau Toba dan budaya Batak. Biaya masuknya sebesar Rp.10.000 per orang. Menghabiskan hampir 1 jam di sini. Jalan menuju lokasi juga sudah bagus.""",
Caldera toba nomadic escape (glamour camping),Wisata Alam,5.000 - 40.000,4.5,"spot foto ""jokowi point"", penginapan glamping, cafe, teater mini, flying fox, toko souvenir, sunset","JW5W+4CX, Pardamean Sibisa, Kec. Ajibata, Toba, Sumatera Utara 22386",07.00 - 18.00,"""Tempat ekowisata yang indah di peukitan tepi Danau Toba, dari Parapat naik kurang lebih 45 menit. Tempatnya luas, hijau dan rindang. Sudah dibuat spot2 wisata, foto dan aneka ajang permainan atau pertunjukan. Paling ikonik adalah spot foto duduk di kursi dgn latar belakang Danau Toba, yg dinamai Jokowi Point.""",
Bukit Holbung,Wisata Alam,5.000 - 15.000,4.7,"tempat kemah, pemandangan danau","Hariara Pohan, Kec. Harian, Kabupaten Samosir, Sumatera Utara GMJX+45",24 jam ,"""Tiket masuk wisata ini seharga IDR 5000 dan kita perlu mendaki bukit untuk mendapatkan view teaik.
Semakin tinggi mendaki, akan mendapatkan pemandangan teaik danau toba dan bukit-bukit di sekitarnya.
Di sini juga tersedia sewa tenda dan drone.
Cuaca di sini akan sangat terik, sebaiknya berkunjung sebelum jam 11 pagi atau setelah jam 3 sore.""",
