NO,KABUPATEN,OBJEK / DESTINASI WISATA,FASILITAS UMUM,FASILITAS PENUNJANG,ALAMAT,WAKTU OPERASIONAL,RATING BPODT
1,TOBA,Pantai Bulbul,"sanitasi
 Parkir","tempat ibadah (Gereja HKBP Tiberias Lumban Bulbul)
 Homestay / penginapan
 Resto dan spot kuliner","Lumban Bulbul, Kecamatan Balige","senin - minggu
 24 jam
 
 08.00 - 14.00",
2,,Air Terjun Situmurun,toilet umum,"spot jajan makanan dan minuman
 
 Sewa kapal","Jonggi Nihuta, Hatinggian, Kec. Lumban Julu.","senin - minggu
 24 jam
 
 08.00 - 14.00",
3,,Taman Eden 100,"sanitasi
 parkir
 pusat informasi
 tempat bersantai","cafe shacky house
 homestay
 jalur evakuasi
 spot oleh-oleh kuliner","Desa Lumban Rang Sionggang Utara, Kecamatan Lumban Julu","senin - minggu
 08.00 - 17.00",
4,,Toba Caldera Resort,"parking area
 mushala
 toilet
 tempat duduk","Nom Addict Cafe
 Penginapan (Bobocabin)
 Stand UMKM","Desa Pardamean Sibisa, Kecamatan Ajibata","senin - minggu
 08.00 - 17.00",
5,,Bukit Senyum,"Gazebo
 mushala
 tempat duduk kayu",warung makanan dan minuman,"Desa Motung, Kecamatan Ajibata","senin - minggu
 08.00 - 17.00",
6,,Bukit Tara Bunga,"parkir
 toilet
 mushala
 gazebo
 pusat informasi",warung makanan dan / restoran,"Lintong Nihuta, Kecamatan Tampahan","senin - minggu
 07.00 - 18.30",
7,,Bukit Pahoda,,,"Desa Lumban Silitong, Kecamatan Balige","senin - minggu
 08.00 - 17.00",
8,,Pemandian Bukit Gibeon,"sanitasi
 ruang ganti
 loker
 parking area","restoran
 tempat ibadah",Desa Parsaoran Sibisa Kecamatan Ajibata,"senin - minggu
 08.00 - 17.00",
9,,Desa Wisata Meat,parking area,homestay,"Desa Meat, Kecamatan Tampahan","senin - sabtu
 08.00 - 16.00",
10,,Labersa Toba Fantasi,"Parking area
 ruang ganti
 loker
 gazebo",restoran,"Jl. Pematang Siantar Sariburja Janji Maria, Kecamatan Balige","senin - minggu
 09.00 - 23.00",
11,,Museum Tb. Silalahi Center,"parkir
 toilet
 ruang terbuka hijau
 pusat informasi","spot oleh-oleh
 spot jajan
 ruang edukasi","Jl. Dr. TB. Silalahi No.88, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara","Selasa - Jumat
 09.30 - 17.00
 
 Sabtu-Minggu & Hari Libur
 09.30 - 18.00",
12,Humbang Hasundutan,Geosite Sipinsur,"sanitasi
 parkir
 gazebo","area bermain anak
 pusat informasi
 stand makanan","Parulohan, Kec. Paranginan","senin - minggu
 07.00 - 23.00",
13,,Air Terjun Simolap,,,"Sibongkare, Tara Bintang","senin-minggu
 08.00 - 17.00",
14,,Panorama Agrowisata Sileme-Leme,"parking area
 gazebo
 toilet
 Mushala","spot oleh-oleh
 spot kuliner","Desa Sileme-leme, Dusun VII Desa Parsingguran II, Kecamatan Pollung","senin - minggu
 08.00 - 17.00 WIB",
15,,Istana Raja Sisingamangaraja,,,"Desa Simamora, Kecamatan Bakti Raja","senin - minggu
 08.00 - 17.00",
16,,Desa Wisata Simangulampe,"parkir
 balai pertemuan
 toilet",cafetaria,Desa Simangulampe. Kecamatan Baktiraja,"senin - minggu
 07.00 - 17.00",
,,Desa wisata Tipang,"parkir
 balai pertemuan
 selfie area
 spot foto
 toilet","homestay tradisional batak
 wifi
 tempat makan
 kios souvenir","Desa Tipang, Kecamatan Baktiraja","senin - minggu
 08.00 - 17.00",
17,SIMALUNGUN,Aek Nauli Elephant Conservation Camp,"parkir
 toilet",,"Jl. Lintas Sumatera, Sibaganding, Kecamatan Girsang Sipangan Bolon","senin - minggu
 08.00 - 16.00",
18,,Kawah Putih Dolok Tinggi Raja,"parkir
 gazebo
 toilet","warung makanan
 penginapan","Desa Dolok Marawa, Kecamatan Silau Kahean","senin - minggu
 06.00 - 17.00",
19,,Museum Simalungun,"sanitasi
 parking area
 pusat informasi",warung makan,"Jalan Sudirman Nomor 20, Kelurahan Proklamasi, Kecamatan Siantar Barat,","senin - minggu
 08.00 - 17.00",
20,SAMOSIR,Bukit Holbung,"toilet
 area parkir
 Mushala
 tempat sampah terpilah
 papan informasi","homestay tradisional
 kafe dan warung kopi
 akses ke Pantai Lumban Manik","Dolok Raja, Kecamatan Harian","senin - minggu
 24 Jam",
21,,Desa Wisata Lumban Suhi-Suhi,"parkir
 toilet
 tempat ibadah (Gereja HKBP Lumban Suhi-Suhi)
 pusat informasi","souvenir shop
 spot kuliner","Desa Lumban Suhi-Suhi Toruan, Kecamatan Pangururan","senin - minggu
 08.00 - 17.00",
,,Air terjun Efrata,"papan informasi
 gazebo
 toilet
 parkir
 ruang ganti
 mushala","UMKM
 souvenir / toko oleh-oleh","Sosor Dolok, Kecamatan. Harian","senin - minggu
 06.00 - 19.00",
