place-id,place-name,place-type,entry-fee,lat-long,operational-hour,address,place-rating,status,operational-day,place-ownership,description
1,Pantai Pasir Putih Lumban Bul-bul Balige,Wisata Alam,5.000 - 10.000,"2.3492596002020694, 99.07327785959252",07.00 - 21.30,"83XF+9VQ, Lumban Bulbul, Kec. Balige, Toba, Sumatera Utara","4,3",beroperasi,,,
2,Bukit Pahoda,Wisata Alam,Gratis,"2.34938999309088, 99.04028385235127",05.00 - 17.00,"82XR+J4W, Lumban Silintong, Kec. Balige, Toba, Sumatera Utara 22312","4,6",beroperasi,,,
3,Desa Wisata Silalahi Pagar Batu,Wisata Alam,Gratis,"2.3310119766622237, 99.04921861186872",09.00 - 17.00,"Jl. Dr. TB. Silalahi, Hinalang Bagasan, Kec. Balige, Toba, Sumatera Utara 22312","5,0",beroperasi,,,
4,Air Terjun Siboruon Balige,Wisata Alam,Gratis,"2.289866206064578, 99.08388020674705",08.00 - 17.00,"73QM+VH2, Siboruon, Kec. Balige, Toba, Sumatera Utara 22312","4,7",beroperasi,,,
5,Puncak Paralayang Sibodiala,Wisata Alam,5.000 - 10.000,"2.317202199257693, 99.04007004070407",05.00 - 21.00,"828R+Q2, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara","4,7",beroperasi,,,
6,Pantai Pelangi,Wisata Alam,5.000 - 10.000,"2.356344164693513, 99.09779924868393",07.00 - 21.30,"934X+C47 Pantai pelangi, Lumban Pea, Kec. Balige, Toba, Sumatera Utara","4,6",beroperasi,,,
7,Penatapan Meat Balige,Wisata Alam,Gratis,"2.3375240759130342, 99.00538132536288",24 jam ,"82P4+W4H, Jl. Raya Meat, Meat, Toba, Sumatera Utara 22312","4,6",beroperasi,,,
8,Tambunan Sunset Beach,Wisata Alam,Gratis,"2.355511359884397, 99.08449491263856",24 jam ,"Lumban Gaol, Kec. Balige, Toba, Sumatera Utara","4,4",beroperasi,,,
9,Wisata Bukit Gibeon,Wisata Alam,5.000 - 10.000,"2.591042448016802, 98.99788496402712",24 jam ,"HXRX+84Q, UnSionggang Utara, Kec. Lumban Julu, Toba, Sumatera Utara 21174","4,5",beroperasi,,,
10,Wisata Puncak Pangkodian,Wisata Alam,5.000 - 10.000,"2.3413269952378317, 99.008719138857",24 jam ,"82R5+CFX, Jl. Pangkodian, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312","4,4",beroperasi,,,
11,Bukit Tara Bunga,Wisata Alam,5.000 - 10.000,"2.3447867741231683, 99.01722798118647",24 jam ,"82V8+RW6, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312","4,5",beroperasi,,,
12,Air Terjun Sampuran,Wisata Alam,Gratis,"2.278675286188601, 99.14360208788077",24 jam ,"74GV+3G3, Huta Namora, Kec. Balige, Toba, Sumatera Utara 22312","4,3",beroperasi,,,
