source_record_id,ground_truth,predicted_auto_match,review_batch
place_src_c4de43b4d6cfb7c8,NO_MATCH,false,ambiguous_all
place_src_664efdedd03e7c7d,NO_MATCH,false,ambiguous_all
place_src_97f29276d08ab677,MATCH,false,ambiguous_all
place_src_c94eaa81d83b4d8a,MATCH,false,ambiguous_all
place_src_e2678275b7f862cc,NO_MATCH,false,ambiguous_all
place_src_fc48da250c64dd89,NO_MATCH,false,ambiguous_all
place_src_5953b6f4255f1105,NO_MATCH,false,ambiguous_all
place_src_161ae6de1af8e3b3,MATCH,false,ambiguous_all
place_src_6240ca697dedba8c,NO_MATCH,false,ambiguous_all
place_src_9ab83bfe6264c3a2,MATCH,false,ambiguous_all
place_src_78d176e34630c8db,MATCH,false,ambiguous_all
place_src_ecb7120e32c8faf7,NO_MATCH,false,ambiguous_all
place_src_7f126914a740d308,NO_MATCH,false,ambiguous_all
place_src_046fc9d8914a3656,NO_MATCH,false,ambiguous_all
place_src_5141a822bb4b15f0,NO_MATCH,false,ambiguous_all
review_name_ca24586d220f13e6,MATCH,false,ambiguous_all
review_name_53cd552a26b5067a,NO_MATCH,false,ambiguous_all
review_name_43b5953626e5277c,MATCH,false,ambiguous_all
review_name_505aae58b331f94a,NO_MATCH,false,ambiguous_all
review_name_81f0564d853ad6d3,MATCH,false,ambiguous_all
review_name_6778146db12ab78a,MATCH,false,ambiguous_all
review_name_dc6b71b5713e128e,MATCH,false,ambiguous_all
review_name_7abaaa096f4a1f90,MATCH,false,ambiguous_all
review_name_4158d67b29a8a56a,NO_MATCH,false,ambiguous_all
review_name_0f3fefb83c8c049f,NO_MATCH,false,ambiguous_all
review_name_5efcd93bacd7524d,MATCH,false,ambiguous_all
review_name_3246fd57e28409cd,MATCH,false,ambiguous_all
review_name_72d4bbf9b346ad71,MATCH,false,ambiguous_all
review_name_4f3c25a9c538b989,MATCH,false,ambiguous_all
review_name_ffb1f06b3719015f,MATCH,false,ambiguous_all
review_name_6e0a5ada2f60bacd,MATCH,false,ambiguous_all
